    Jan-Mar_2022_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  97   3   13.00  -85.00        0.3809
  98   3   15.00  -85.00        0.3809
  99   3   17.00  -85.00        0.3809
 100   3   19.00  -85.00        0.3809
 101   3   21.00  -85.00        0.3809
 102   3   23.00  -85.00        0.3809
 103   3   25.00  -85.00        0.3809
 104   3   27.00  -85.00        0.3809
 105   3   29.00  -85.00        0.3809
 106   3   31.00  -85.00        0.3809
 107   3   33.00  -85.00        0.3809
 108   3   35.00  -85.00        0.3809
 109   3   37.00  -85.00        0.3809
 110   3   39.00  -85.00        0.3809
 111   3   41.00  -85.00        0.3809
 112   3   43.00  -85.00        0.3809
 113   3   45.00  -85.00        0.3809
 114   3   47.00  -85.00        0.3809
 115   3   49.00  -85.00        0.3809
 116   3   51.00  -85.00        0.3809
 117   3   53.00  -85.00        0.3809
 118   3   55.00  -85.00        0.3809
 119   3   57.00  -85.00        0.3809
 120   3   59.00  -85.00        0.3809
 121   3   61.00  -85.00        0.3809
 122   3   63.00  -85.00        0.3809
 123   3   65.00  -85.00        0.3809
 124   3   67.00  -85.00        0.3809
 125   3   69.00  -85.00        0.3809
 126   3   71.00  -85.00        0.3809
 127   3   73.00  -85.00        0.3809
 128   3   75.00  -85.00        0.3809
 129   3   77.00  -85.00        0.3809
 130   3   79.00  -85.00        0.3809
 131   3   81.00  -85.00        0.3809
 132   3   83.00  -85.00        0.3809
 133   3   85.00  -85.00        0.3809
 134   3   87.00  -85.00        0.3809
 135   3   89.00  -85.00        0.3809
 136   3   91.00  -85.00        0.3809
 137   3   93.00  -85.00        0.3809
 138   3   95.00  -85.00        0.3809
 139   3   97.00  -85.00        0.3809
 140   3   99.00  -85.00        0.3809
 141   3  101.00  -85.00        0.3809
 142   3  103.00  -85.00        0.3809
 143   3  105.00  -85.00        0.3809
 144   3  107.00  -85.00        0.3809
 145   3  109.00  -85.00        0.3809
 146   3  111.00  -85.00        0.3809
 147   3  113.00  -85.00        0.3809
 148   3  115.00  -85.00        0.3809
 149   3  117.00  -85.00        0.3809
 150   3  119.00  -85.00        0.3809
 151   3  121.00  -85.00        0.3809
 152   3  123.00  -85.00        0.3809
 153   3  125.00  -85.00        0.3809
 154   3  127.00  -85.00        0.3809
 155   3  129.00  -85.00        0.3809
 156   3  131.00  -85.00        0.3809
